"","id","data_format","cases","access","file_name","submitter_id","data_category","type","platform","file_size","created_datetime","md5sum","updated_datetime","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","analysis_workflow_version","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"304","b9bdb9d3-4d2b-4a53-9804-d0511174e553","TSV","TCGA-A7-A0CH-11A-32R-A089-07","open","49e456c9-c47b-4663-bf6f-9f8f4e4e71a5.rna_seq.augmented_star_gene_counts.tsv","54825160-6b86-4ad4-9824-e57a117d00c3","Transcriptome Profiling","gene_expression","Illumina",4249088,"2021-12-13T22:36:50.489051-06:00","c68d20cdb92d62abe7e0669fef6cc03d","2024-07-30T10:03:40.591726-05:00","b9bdb9d3-4d2b-4a53-9804-d0511174e553","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","4adaec2f-a0c0-4375-b441-0b8260c33f29","released","49e456c9-c47b-4663-bf6f-9f8f4e4e71a5_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-A7-A0CH","TCGA-A7-A0CH-11A"
"305","64bfe46f-8152-4c70-b69d-ea412a4dfcff","TSV","TCGA-A2-A0D2-01A-21R-A034-07","open","b25117ce-5a14-4b43-bbfe-513b957464d0.rna_seq.augmented_star_gene_counts.tsv","f895fb16-48aa-4c6d-8927-1855030eca2f","Transcriptome Profiling","gene_expression","Illumina",4238941,"2021-12-13T22:06:55.988686-06:00","4c10ed2ed8b6b870437d52ebf83b2fa3","2024-07-30T09:48:17.158092-05:00","64bfe46f-8152-4c70-b69d-ea412a4dfcff","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","1564fe7c-c67c-49ca-9451-fce4832be3cf","released","b25117ce-5a14-4b43-bbfe-513b957464d0_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A2-A0D2","TCGA-A2-A0D2-01A"
"306","64657d41-17ad-4692-8a13-0cf55c55f11d","TSV","TCGA-A7-A0CH-01A-21R-A00Z-07","open","6f73500d-4b23-4f14-911b-fbc69bd38f4b.rna_seq.augmented_star_gene_counts.tsv","6f95887c-4ba5-40ce-8682-ea581084ee5b","Transcriptome Profiling","gene_expression","Illumina",4237684,"2021-12-13T22:01:30.425582-06:00","87ba1e6a5ddf9897ae488f3b52b12d7d","2024-07-30T09:59:38.235383-05:00","64657d41-17ad-4692-8a13-0cf55c55f11d","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","0eb997fa-a381-49b4-af05-fd20e03406d0","released","6f73500d-4b23-4f14-911b-fbc69bd38f4b_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A7-A0CH","TCGA-A7-A0CH-01A"
"307","cdfe79d9-a0bd-4700-937f-07bd0ee51d73","TSV","TCGA-B6-A0RG-01A-11R-A056-07","open","61348250-68d8-4cef-b6f9-68a68d35508f.rna_seq.augmented_star_gene_counts.tsv","57f02208-e481-47fd-b477-03cb4d424d09","Transcriptome Profiling","gene_expression","Illumina",4228240,"2021-12-13T22:18:52.325103-06:00","68e80b03eff7e434901a1f473ac4e160","2024-07-30T09:29:01.234171-05:00","cdfe79d9-a0bd-4700-937f-07bd0ee51d73","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","38b43136-96ad-4cbf-ace0-77e7432de0a6","released","61348250-68d8-4cef-b6f9-68a68d35508f_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-B6-A0RG","TCGA-B6-A0RG-01A"
"308","d8ac1c2a-1820-4174-99e3-524b334df490","TSV","TCGA-BH-A1EW-11B-33R-A137-07","open","078f6959-adcf-44a5-91d2-2581ba3c8e62.rna_seq.augmented_star_gene_counts.tsv","de74732a-e633-475c-99d4-0d15600abc15","Transcriptome Profiling","gene_expression","Illumina",4273980,"2021-12-13T21:57:42.552219-06:00","899d4a95da83ad0c9e794b70d8c69ec0","2024-07-30T09:21:31.667489-05:00","d8ac1c2a-1820-4174-99e3-524b334df490","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","956d98d5-3c20-42b5-812f-46717ed863d8","released","078f6959-adcf-44a5-91d2-2581ba3c8e62_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-BH-A1EW","TCGA-BH-A1EW-11B"
"313","d2b6c967-b505-4f52-a4f7-91b6e8acbd1f","TSV","TCGA-A7-A13G-01B-04R-A22O-07","open","56c85bd5-c353-457a-94a9-91a3cc0ac4e0.rna_seq.augmented_star_gene_counts.tsv","3264464e-3342-462d-b0b3-f760d2fb686f","Transcriptome Profiling","gene_expression","Illumina",4272295,"2021-12-13T22:41:24.770611-06:00","3db54e9dd66ec8eaa9a2beb63f51a610","2024-07-30T09:30:56.662032-05:00","d2b6c967-b505-4f52-a4f7-91b6e8acbd1f","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","f2f39395-c6e4-4be3-8d97-849e80d423c0","released","56c85bd5-c353-457a-94a9-91a3cc0ac4e0_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A7-A13G","TCGA-A7-A13G-01B"
"314","236805b9-ea89-43b4-ba51-c09276778e90","TSV","TCGA-LL-A5YP-01A-21R-A28M-07","open","0bceb3fb-af69-4427-8ce1-767da4b31c37.rna_seq.augmented_star_gene_counts.tsv","de25f2a4-43f9-45d3-a550-1551e5eea4bf","Transcriptome Profiling","gene_expression","Illumina",4237836,"2021-12-13T22:05:34.344403-06:00","96abd8c1bdc92d41c491fd423a7dee45","2024-07-30T09:27:57.048672-05:00","236805b9-ea89-43b4-ba51-c09276778e90","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","fea7c926-ac96-450d-a366-3ad7a6b2bde3","released","0bceb3fb-af69-4427-8ce1-767da4b31c37_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-LL-A5YP","TCGA-LL-A5YP-01A"
"315","e5016a2d-c839-4962-aa12-16b6c0e1328b","TSV","TCGA-B6-A0IO-01A-11R-A034-07","open","9634f770-bc93-4dfa-949c-98a6da30a102.rna_seq.augmented_star_gene_counts.tsv","a79567bf-a5d9-41cf-aa9e-58b85150ca95","Transcriptome Profiling","gene_expression","Illumina",4245166,"2021-12-13T21:51:37.769967-06:00","317294299af0bce355aa417df10f7990","2024-07-30T09:18:15.934008-05:00","e5016a2d-c839-4962-aa12-16b6c0e1328b","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","9ca17213-3d15-4586-a7a7-1de1311f177b","released","9634f770-bc93-4dfa-949c-98a6da30a102_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-B6-A0IO","TCGA-B6-A0IO-01A"
"317","da7f48b2-3bed-4824-8de7-187d0b22f54d","TSV","TCGA-C8-A1HF-01A-11R-A137-07","open","0a72c39e-889a-4990-bf96-6c7b9b8c1124.rna_seq.augmented_star_gene_counts.tsv","d14528fe-617f-4702-9be4-daf7ff7319d2","Transcriptome Profiling","gene_expression","Illumina",4248039,"2021-12-13T22:00:57.512522-06:00","bd54e7e9567e40faff2f94604c9f90a1","2024-07-30T09:43:23.555096-05:00","da7f48b2-3bed-4824-8de7-187d0b22f54d","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","77712c90-d343-46bd-b87f-d76cc6e09e04","released","0a72c39e-889a-4990-bf96-6c7b9b8c1124_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-C8-A1HF","TCGA-C8-A1HF-01A"
"318","41e79241-b5a4-4541-848b-e20e693e8ee3","TSV","TCGA-E2-A1IU-01A-11R-A14D-07","open","22c2b380-799e-4fad-ae38-46a916c592d5.rna_seq.augmented_star_gene_counts.tsv","868150f4-4022-4a48-98bc-b720d606dfc7","Transcriptome Profiling","gene_expression","Illumina",4239996,"2021-12-13T22:05:04.428724-06:00","5667e8edecdc6efc588e8ef4fc97e41f","2024-07-30T10:08:11.620469-05:00","41e79241-b5a4-4541-848b-e20e693e8ee3","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","ef5fb6a8-9ec7-4ebf-a0c2-49fa43415826","released","22c2b380-799e-4fad-ae38-46a916c592d5_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E2-A1IU","TCGA-E2-A1IU-01A"
"319","16b9a021-447f-44d8-a1f9-ad45edc73bc9","TSV","TCGA-D8-A1XY-01A-11R-A14M-07","open","13d6ae6d-1662-4e0a-a10b-a733efc216b2.rna_seq.augmented_star_gene_counts.tsv","f697cf64-325c-46b4-a06e-b99bfc439e54","Transcriptome Profiling","gene_expression","Illumina",4247091,"2021-12-13T22:22:15.802997-06:00","4b8aa78f000b12f34a03c0e960c3bbe8","2024-07-30T09:44:47.344446-05:00","16b9a021-447f-44d8-a1f9-ad45edc73bc9","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","4ec22c1f-b633-4d4c-a70b-1d4e0e8c20d2","released","13d6ae6d-1662-4e0a-a10b-a733efc216b2_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-D8-A1XY","TCGA-D8-A1XY-01A"
"320","86b7ddd7-1c59-4937-99ec-b30fa9b4f0bd","TSV","TCGA-BH-A204-11A-53R-A157-07","open","a622a28b-a3ac-495b-b696-2a11e0e0e2ad.rna_seq.augmented_star_gene_counts.tsv","24163d40-d593-4e00-8ce8-39a461dd2eba","Transcriptome Profiling","gene_expression","Illumina",4240504,"2021-12-13T22:20:00.300255-06:00","d0a2c7f198b4fabe4dc838ea141863a8","2024-07-30T09:22:45.061593-05:00","86b7ddd7-1c59-4937-99ec-b30fa9b4f0bd","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","4cac6b9b-c0d6-4b8a-b7c5-6efc75fab501","released","a622a28b-a3ac-495b-b696-2a11e0e0e2ad_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-BH-A204","TCGA-BH-A204-11A"
"321","4dd3d7e2-8a60-41e8-8812-a06f413afe2b","TSV","TCGA-AN-A0AT-01A-11R-A034-07","open","49ec7f30-d687-4124-a3aa-17bffb48ce26.rna_seq.augmented_star_gene_counts.tsv","e4cc65a7-1f26-46f2-b788-92914bda9b55","Transcriptome Profiling","gene_expression","Illumina",4249844,"2021-12-13T22:08:54.442366-06:00","4f066c0a9719e3efb4a953ad9436e6da","2024-07-30T09:31:41.376785-05:00","4dd3d7e2-8a60-41e8-8812-a06f413afe2b","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","e6400526-adb9-4224-94fd-a87f554a24c6","released","49ec7f30-d687-4124-a3aa-17bffb48ce26_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-AN-A0AT","TCGA-AN-A0AT-01A"
"323","b96a8979-77c1-41b5-a247-0342262d30f7","TSV","TCGA-B6-A0I8-01A-11R-A034-07","open","b2868132-6476-4eec-9032-2a668d894baa.rna_seq.augmented_star_gene_counts.tsv","0f0eb7b1-12a9-4e9a-bcce-32dc62dd2b40","Transcriptome Profiling","gene_expression","Illumina",4242948,"2021-12-13T21:48:02.489136-06:00","1e4e3b8ea0b24b60b1b1e42e8aa67666","2024-07-30T09:44:13.125992-05:00","b96a8979-77c1-41b5-a247-0342262d30f7","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","d90b8cfa-3f03-4c25-8005-77a76a44fafe","released","b2868132-6476-4eec-9032-2a668d894baa_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-B6-A0I8","TCGA-B6-A0I8-01A"
"324","e12f17ae-dc1f-4e91-93bd-b827ad276dde","TSV","TCGA-AO-A0JI-01A-21R-A056-07","open","a854c368-6e81-4ade-9ea9-afbee1c4c448.rna_seq.augmented_star_gene_counts.tsv","e3e938ba-1056-455d-8749-3b3a7bdc67c6","Transcriptome Profiling","gene_expression","Illumina",4239792,"2021-12-13T22:36:37.184495-06:00","1132566aa28f06f65623f189d783bc7a","2024-07-30T09:23:46.493135-05:00","e12f17ae-dc1f-4e91-93bd-b827ad276dde","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","b5d7bd57-04b0-42ea-afd6-090a729f8fcb","released","a854c368-6e81-4ade-9ea9-afbee1c4c448_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-AO-A0JI","TCGA-AO-A0JI-01A"
"331","d796de5e-4512-4b3a-93d4-2a006e79084f","TSV","TCGA-E2-A1L7-11A-33R-A144-07","open","da752364-731c-4e77-8d6e-9c91a5b7f68f.rna_seq.augmented_star_gene_counts.tsv","34e7884b-b4f7-4124-98d9-e7cf81f2daa4","Transcriptome Profiling","gene_expression","Illumina",4248916,"2021-12-13T22:28:41.562306-06:00","6f35859fce468db92bf40e73a10a33c7","2024-07-30T09:25:32.850855-05:00","d796de5e-4512-4b3a-93d4-2a006e79084f","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","c7e43234-624d-47d7-b0f1-2c9d2aee610e","released","da752364-731c-4e77-8d6e-9c91a5b7f68f_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-E2-A1L7","TCGA-E2-A1L7-11A"
"333","488399aa-ef3c-42d7-817f-9db11b9902dd","TSV","TCGA-E9-A1R4-01A-21R-A14D-07","open","a8e0466b-d106-44b7-b846-c4fb666715f5.rna_seq.augmented_star_gene_counts.tsv","3dde8d31-7f96-44b7-ae01-a21ab439b815","Transcriptome Profiling","gene_expression","Illumina",4245845,"2021-12-13T21:45:04.126085-06:00","f554265cbe49c50e15d0a031a9b64bec","2024-07-30T10:05:47.065217-05:00","488399aa-ef3c-42d7-817f-9db11b9902dd","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","202daa81-a21a-4ec3-8d6c-2311e68d5f96","released","a8e0466b-d106-44b7-b846-c4fb666715f5_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E9-A1R4","TCGA-E9-A1R4-01A"
"334","7ba3b335-cd4c-4b44-a4da-44fa1109a6f0","TSV","TCGA-A2-A0D4-01A-11R-A00Z-07","open","824f5b0a-44d4-4ccf-9277-1ef752462bb3.rna_seq.augmented_star_gene_counts.tsv","330834dc-625d-4236-9d78-572f21c26dd7","Transcriptome Profiling","gene_expression","Illumina",4247739,"2021-12-13T22:06:23.449329-06:00","5a849da011ca0a91c11e3b8bde008148","2024-07-30T09:34:27.294280-05:00","7ba3b335-cd4c-4b44-a4da-44fa1109a6f0","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","18c4a482-554c-403e-9944-5edb1811c6ba","released","824f5b0a-44d4-4ccf-9277-1ef752462bb3_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A2-A0D4","TCGA-A2-A0D4-01A"
"335","fe7dfda5-6846-4238-9ccc-472978eb78a1","TSV","TCGA-A2-A0YM-01A-11R-A109-07","open","8a27980e-a506-4cb3-91f2-3f0e5a19acfe.rna_seq.augmented_star_gene_counts.tsv","d9f79023-a752-4d31-abc7-694221916611","Transcriptome Profiling","gene_expression","Illumina",4249051,"2021-12-13T22:06:39.713399-06:00","5ab2e6521e4cfa4a63dec5b21bc66ff4","2024-07-30T10:09:14.981583-05:00","fe7dfda5-6846-4238-9ccc-472978eb78a1","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","8e5789b2-f949-4d46-bee6-34d1907c37f2","released","8a27980e-a506-4cb3-91f2-3f0e5a19acfe_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A2-A0YM","TCGA-A2-A0YM-01A"
"340","acfa0ea5-3345-4734-9917-d3acc10d1a15","TSV","TCGA-BH-A18L-11A-42R-A12D-07","open","9d515fd5-009a-4c32-95e7-042909d70b9f.rna_seq.augmented_star_gene_counts.tsv","f332922e-6da6-4677-9f28-e05738b9dc84","Transcriptome Profiling","gene_expression","Illumina",4245085,"2021-12-13T21:58:26.913317-06:00","b58e84564ba4fb9cc94b556b75652ade","2024-07-30T09:28:41.084984-05:00","acfa0ea5-3345-4734-9917-d3acc10d1a15","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","1bcb6a20-17ef-4e1e-a1c5-a151ca25ed1f","released","9d515fd5-009a-4c32-95e7-042909d70b9f_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-BH-A18L","TCGA-BH-A18L-11A"
"341","268eed55-913e-470b-8940-68daae0b21aa","TSV","TCGA-D8-A1JJ-01A-31R-A14M-07","open","42b32308-71f1-4f21-935f-7e4e5751e332.rna_seq.augmented_star_gene_counts.tsv","fbe5a597-aab2-41d9-9715-d65d9ff0dc1d","Transcriptome Profiling","gene_expression","Illumina",4249043,"2021-12-13T22:19:11.911779-06:00","f1a98648086b46da1a5eff1edb8e7b1b","2024-07-30T09:38:45.854794-05:00","268eed55-913e-470b-8940-68daae0b21aa","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","23498332-f4a0-4e9b-911b-11290206dc15","released","42b32308-71f1-4f21-935f-7e4e5751e332_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-D8-A1JJ","TCGA-D8-A1JJ-01A"
"342","4081fb70-afcd-4be3-a071-6df014f4fa52","TSV","TCGA-C8-A134-01A-11R-A115-07","open","0d71189d-6801-4d6b-b306-22efcaa2564a.rna_seq.augmented_star_gene_counts.tsv","9cbcfdd7-24bc-4a0e-a31a-de8b861e0b10","Transcriptome Profiling","gene_expression","Illumina",4261154,"2021-12-13T22:22:39.226983-06:00","8349d55f0989a5527b6ce7c6ddaaad48","2024-07-30T09:42:50.221202-05:00","4081fb70-afcd-4be3-a071-6df014f4fa52","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","4e87371d-aa89-43c4-b5d5-86fd662a1e67","released","0d71189d-6801-4d6b-b306-22efcaa2564a_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-C8-A134","TCGA-C8-A134-01A"
"343","176e739b-87e2-49b7-80e1-c27a6a632576","TSV","TCGA-D8-A1XB-01A-11R-A14D-07","open","48077485-61e6-4d16-a74c-ee216a9455f1.rna_seq.augmented_star_gene_counts.tsv","317dfb33-bb1d-4e0f-b14f-ea9a116a7a89","Transcriptome Profiling","gene_expression","Illumina",4238417,"2021-12-13T22:43:59.447918-06:00","7460912e5d08c1466dfd702b30171fcc","2024-07-30T10:02:40.656149-05:00","176e739b-87e2-49b7-80e1-c27a6a632576","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","6a8bbffc-8597-4d2c-83b9-995374ca0cf0","released","48077485-61e6-4d16-a74c-ee216a9455f1_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-D8-A1XB","TCGA-D8-A1XB-01A"
"347","fed0a382-2eee-4acc-af00-53a9fdcd2a61","TSV","TCGA-D8-A1XL-01A-11R-A14M-07","open","2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e.rna_seq.augmented_star_gene_counts.tsv","791ea339-02f7-46f5-9ca8-84a91f746fb5","Transcriptome Profiling","gene_expression","Illumina",4245343,"2021-12-13T22:25:34.740354-06:00","733e3e9a8286d978ad0086d037b3ea8e","2024-07-30T10:09:16.139510-05:00","fed0a382-2eee-4acc-af00-53a9fdcd2a61","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","1e79e5ef-51b4-4a70-a034-a07d428278ca","released","2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-D8-A1XL","TCGA-D8-A1XL-01A"
"349","a6f96d96-c761-4e98-9120-25138aa43e67","TSV","TCGA-E2-A15R-01A-11R-A115-07","open","d0dc0f54-e23f-40fb-a0ac-56fbd55108f0.rna_seq.augmented_star_gene_counts.tsv","fdf247ed-b372-4898-9c28-b1d4be2dd8fe","Transcriptome Profiling","gene_expression","Illumina",4254685,"2021-12-13T22:42:42.210216-06:00","4c6b7951e611a48e3b37f303d5c2f5f3","2024-07-30T10:02:51.660764-05:00","a6f96d96-c761-4e98-9120-25138aa43e67","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","257d90e7-0dd8-4acc-835a-bf80e669f4e4","released","d0dc0f54-e23f-40fb-a0ac-56fbd55108f0_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E2-A15R","TCGA-E2-A15R-01A"
"350","4f4862e1-abfc-4577-bdb2-a96759ef2b53","TSV","TCGA-D8-A1JG-01B-11R-A13Q-07","open","7ee4348d-9975-42ba-b258-2334e089395c.rna_seq.augmented_star_gene_counts.tsv","6bb32659-f7cc-4330-912a-139931e231c4","Transcriptome Profiling","gene_expression","Illumina",4255586,"2021-12-13T21:50:30.077964-06:00","ab39936550ae58e3408d7f6c413cb06e","2024-07-30T09:33:55.080941-05:00","4f4862e1-abfc-4577-bdb2-a96759ef2b53","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","64fbc04c-542e-4129-8376-aeea1c731877","released","7ee4348d-9975-42ba-b258-2334e089395c_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-D8-A1JG","TCGA-D8-A1JG-01B"
